playerId,name,position,transferDate,fromClubId,fromClub,toClub,toClubId,fromDate,toDate,transferType,marketValue,fee,position_name,position_description,fee_transfer
174854,Sergio Escudero,"{'label': 'LB', 'key': 'leftback_short'}",18-06-2024,10281,Real Valladolid,Free agent,2,01-07-2024,,contract,1900000.0,,LB,leftback,0.0
213684,Jordi Masip,"{'label': 'GK', 'key': 'keeper'}",18-06-2024,10281,Real Valladolid,Free agent,2,01-07-2024,,contract,850000.0,,GK,keeper,0.0
1281986,Marko Lazetic,,18-06-2024,8564,AC Milan,TSC Backa Topola,676140,01-07-2024,30-06-2025,on loan,2400000.0,"{'feeText': 'on loan', 'localizedFeeText': 'on_loan'}",,,0.0
40930,Adrien Silva,"{'label': 'CM', 'key': 'centermidfielder_short'}",18-06-2024,7841,Rio Ave,Free agent,2,01-07-2024,,contract,550000.0,,CM,centermidfielder,0.0
1187370,Cristian Devenish,"{'label': 'CB', 'key': 'centerback_short'}",18-06-2024,7841,Rio Ave,Free agent,2,01-07-2024,,contract,1100000.0,,CB,centerback,0.0
570159,Zé Manuel,,18-06-2024,7841,Rio Ave,Free agent,2,01-07-2024,,contract,130000.0,,,,0.0
566470,Joca,"{'label': 'RW', 'key': 'rightwinger_short'}",18-06-2024,7841,Rio Ave,Free agent,2,01-07-2024,,contract,300000.0,,RW,rightwinger,0.0
488140,Joao Teixeira,"{'label': 'CM', 'key': 'centermidfielder_short'}",18-06-2024,7841,Rio Ave,Free agent,2,01-07-2024,,contract,850000.0,,CM,centermidfielder,0.0
561219,Emmanuel Boateng,"{'label': 'CF', 'key': 'centerforward_short'}",18-06-2024,7841,Rio Ave,Free agent,2,01-07-2024,,contract,750000.0,,CF,centerforward,0.0
1520602,Luan Farias,,18-06-2024,173552,Estrela dos Amadores,Benfica,9772,01-07-2024,30-06-2028,contract,0.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",,,0.0
839970,Magnus Kaastrup,"{'label': 'RW', 'key': 'rightwinger_short'}",18-06-2024,9907,Lyngby,Vendsyssel FF,8615,01-07-2024,,contract,360000.0,,RW,rightwinger,0.0
942363,Nikolas Dyhr,"{'label': 'LB', 'key': 'leftback_short'}",18-06-2024,1427963,St. Louis City,Randers FC,8410,01-07-2024,01-07-2028,contract,1100000.0,"{'feeText': 'fee', 'localizedFeeText': 'transfer_fee', 'value': 373000}",LB,leftback,373000.0
875305,Denis Dragus,"{'label': 'ST', 'key': 'striker_short'}",18-06-2024,9985,Standard Liege,Trabzonspor,9752,18-06-2024,30-06-2028,contract,4200000.0,"{'feeText': 'fee', 'localizedFeeText': 'transfer_fee', 'value': 5000000}",ST,striker,5000000.0
1233532,Isma Armenteros,,18-06-2024,7854,Leganes,Melilla,141789,01-07-2024,30-06-2025,contract,160000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",,,0.0
1233684,Ebenezer Annan,"{'label': 'LB', 'key': 'leftback_short'}",18-06-2024,9857,Bologna,Røde Stjerne Beograd,8687,01-07-2024,30-06-2026,contract,80000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",LB,leftback,0.0
801213,Tete Morente,"{'label': 'LM', 'key': 'leftmidfielder_short'}",18-06-2024,10268,Elche,Lecce,9888,01-07-2024,30-06-2027,contract,3000000.0,"{'feeText': 'free transfer', 'localizedFeeText': 'transfer_type_free_transfer'}",LM,leftmidfielder,0.0
571388,Stefan Simic,"{'label': 'CB', 'key': 'centerback_short'}",18-06-2024,8372,Eibar,Free agent,2,01-07-2024,,contract,410000.0,,CB,centerback,0.0
239644,Yacine Qasmi,"{'label': 'ST', 'key': 'striker_short'}",18-06-2024,8372,Eibar,Free agent,2,02-07-2024,,contract,650000.0,,ST,striker,0.0
